date,type,year,avg_price,size,nb_sold
12/27/2015,conventional,2015,0.95,small,9626901.09
12/20/2015,conventional,2015,0.98,small,8710021.76
12/13/2015,conventional,2015,0.93,small,9855053.66
12/6/2015,conventional,2015,0.89,small,9405464.36
11/29/2015,conventional,2015,0.99,small,8094803.56
11/22/2015,conventional,2015,0.96,small,8571849.8
11/15/2015,conventional,2015,0.92,small,9907981.27
11/8/2015,conventional,2015,0.97,small,9991330.31
11/1/2015,conventional,2015,0.97,small,10138703.85
10/25/2015,conventional,2015,1.04,small,8683958.8
10/18/2015,conventional,2015,0.99,small,9162094.14
10/11/2015,conventional,2015,1,small,8828340.53
10/4/2015,conventional,2015,1.02,small,8353619.97
9/27/2015,conventional,2015,1.03,small,8454208.8
9/20/2015,conventional,2015,1.02,small,9422275.27
9/13/2015,conventional,2015,1.03,small,9875018.48
9/6/2015,conventional,2015,1.02,small,12569277.14
8/30/2015,conventional,2015,1.07,small,11650976.87
8/23/2015,conventional,2015,1.08,small,11283021.31
8/16/2015,conventional,2015,1.05,small,12680252.48
8/9/2015,conventional,2015,1.05,small,13003371.07
8/2/2015,conventional,2015,1.09,small,12115233.76
7/26/2015,conventional,2015,1.07,small,12196225.93
7/19/2015,conventional,2015,1.07,small,12742760.17
7/12/2015,conventional,2015,1.07,small,12384449.4
7/5/2015,conventional,2015,1.04,small,15643939.37
6/28/2015,conventional,2015,1.06,small,13299568.71
6/21/2015,conventional,2015,1.02,small,14699604.93
6/14/2015,conventional,2015,0.98,small,16383685.07
6/7/2015,conventional,2015,1,small,16529797.6
5/31/2015,conventional,2015,1.03,small,15503613.33
5/24/2015,conventional,2015,1.04,small,16000107.8
5/17/2015,conventional,2015,1.06,small,14615941.59
5/10/2015,conventional,2015,1.02,small,16215328.75
5/3/2015,conventional,2015,0.96,small,17787611.93
4/26/2015,conventional,2015,1.07,small,13833715.28
4/19/2015,conventional,2015,1.03,small,14251319.31
4/12/2015,conventional,2015,1.02,small,14793354.18
4/5/2015,conventional,2015,1.06,small,13939014.43
3/29/2015,conventional,2015,1.04,small,12524637.04
3/22/2015,conventional,2015,1.01,small,13697405.61
3/15/2015,conventional,2015,1.04,small,13149988.71
3/8/2015,conventional,2015,1.02,small,13013750.35
3/1/2015,conventional,2015,0.97,small,13282222.98
2/22/2015,conventional,2015,1.02,small,12628562.36
2/15/2015,conventional,2015,1.03,small,12626615.3
2/8/2015,conventional,2015,0.95,small,13308193.4
2/1/2015,conventional,2015,0.89,small,18933038.04
1/25/2015,conventional,2015,1.04,small,12167445.03
1/18/2015,conventional,2015,1.03,small,11858139.34
1/11/2015,conventional,2015,1.01,small,11544810.53
1/4/2015,conventional,2015,0.95,small,12357161.34
12/25/2016,conventional,2016,1,small,9255125.2
12/18/2016,conventional,2016,0.96,small,9394065.91
12/11/2016,conventional,2016,0.98,small,9009996.11
12/4/2016,conventional,2016,1,small,11043350.9
11/27/2016,conventional,2016,1.21,small,7891487.94
11/20/2016,conventional,2016,1.27,small,8531160.52
11/13/2016,conventional,2016,1.36,small,8235135.43
11/6/2016,conventional,2016,1.44,small,7804252.91
10/30/2016,conventional,2016,1.43,small,7100458.82
10/23/2016,conventional,2016,1.34,small,7579629.06
10/16/2016,conventional,2016,1.3,small,8810664.45
10/9/2016,conventional,2016,1.27,small,9552502.48
10/2/2016,conventional,2016,1.23,small,9534915.56
9/25/2016,conventional,2016,1.22,small,10548061.13
9/18/2016,conventional,2016,1.15,small,11337829.1
9/11/2016,conventional,2016,1.08,small,12962762.94
9/4/2016,conventional,2016,1.04,small,14643465.52
8/28/2016,conventional,2016,1.09,small,12561055.5
8/21/2016,conventional,2016,1.1,small,12725249.3
8/14/2016,conventional,2016,1.12,small,12352932.68
8/7/2016,conventional,2016,1.15,small,12197105.36
7/31/2016,conventional,2016,1.23,small,10168972.37
7/24/2016,conventional,2016,1.2,small,10331314.28
7/17/2016,conventional,2016,1.15,small,10320463.27
7/10/2016,conventional,2016,1.1,small,11457080.38
7/3/2016,conventional,2016,1.06,small,12508937.27
6/26/2016,conventional,2016,1.04,small,12189035.17
6/19/2016,conventional,2016,1.02,small,13488851.61
6/12/2016,conventional,2016,1.04,small,12291686.69
6/5/2016,conventional,2016,0.97,small,13808859.16
5/29/2016,conventional,2016,0.94,small,13682611.21
5/22/2016,conventional,2016,0.93,small,11711999.81
5/15/2016,conventional,2016,0.89,small,12447598.49
5/8/2016,conventional,2016,0.82,small,14223304.98
5/1/2016,conventional,2016,0.84,small,13748944.38
4/24/2016,conventional,2016,0.87,small,12913697.19
4/17/2016,conventional,2016,0.9,small,11954487.56
4/10/2016,conventional,2016,0.9,small,12879820.47
4/3/2016,conventional,2016,0.94,small,11320969.79
3/27/2016,conventional,2016,0.94,small,11249198.4
3/20/2016,conventional,2016,0.93,small,11134390.98
3/13/2016,conventional,2016,0.93,small,11661687.44
3/6/2016,conventional,2016,0.95,small,11824154.63
2/28/2016,conventional,2016,0.91,small,11907394.72
2/21/2016,conventional,2016,0.94,small,10015825.13
2/14/2016,conventional,2016,0.88,small,11913078.3
2/7/2016,conventional,2016,0.76,small,16573573.78
1/31/2016,conventional,2016,0.93,small,11098088.49
1/24/2016,conventional,2016,0.95,small,7020459
1/17/2016,conventional,2016,0.94,small,10036597.84
1/10/2016,conventional,2016,0.93,small,11441286.89
1/3/2016,conventional,2016,0.86,small,11616506.17
12/31/2017,conventional,2017,0.98,small,13109617.49
12/24/2017,conventional,2017,1.18,small,10027319.18
12/17/2017,conventional,2017,1.07,small,10704214.26
12/10/2017,conventional,2017,1.03,small,11943914.54
12/3/2017,conventional,2017,1.09,small,11746980
11/26/2017,conventional,2017,1.24,small,9175316
11/19/2017,conventional,2017,1.17,small,11173132
11/12/2017,conventional,2017,1.15,small,11512837
11/5/2017,conventional,2017,1.19,small,11042128.27
10/29/2017,conventional,2017,1.29,small,10596902.91
10/22/2017,conventional,2017,1.44,small,9607586.96
10/15/2017,conventional,2017,1.58,small,8769357.86
10/8/2017,conventional,2017,1.65,small,8911144.2
10/1/2017,conventional,2017,1.64,small,8342407.59
9/24/2017,conventional,2017,1.62,small,8652381.39
9/17/2017,conventional,2017,1.57,small,9153158.54
9/10/2017,conventional,2017,1.56,small,9496485.27
9/3/2017,conventional,2017,1.57,small,9775062.87
8/27/2017,conventional,2017,1.47,small,10735709.61
8/20/2017,conventional,2017,1.41,small,10507928.78
8/13/2017,conventional,2017,1.33,small,10952703.84
8/6/2017,conventional,2017,1.33,small,11292580.44
7/30/2017,conventional,2017,1.32,small,11112191.11
7/23/2017,conventional,2017,1.31,small,11391055.98
7/16/2017,conventional,2017,1.33,small,11155465.9
7/9/2017,conventional,2017,1.17,small,13009944.14
7/2/2017,conventional,2017,1.21,small,12623188.5
6/25/2017,conventional,2017,1.17,small,12901031.63
6/18/2017,conventional,2017,1.18,small,12975373.48
6/11/2017,conventional,2017,1.21,small,13490545.5
6/4/2017,conventional,2017,1.24,small,13248334.78
5/28/2017,conventional,2017,1.28,small,12841952.21
5/21/2017,conventional,2017,1.26,small,12120948.7
5/14/2017,conventional,2017,1.19,small,12807836.17
5/7/2017,conventional,2017,1.09,small,17076650.82
4/30/2017,conventional,2017,1.18,small,13316594.36
4/23/2017,conventional,2017,1.18,small,12236713.41
4/16/2017,conventional,2017,1.23,small,12311055.17
4/9/2017,conventional,2017,1.21,small,12091315.22
4/2/2017,conventional,2017,1.21,small,12245520.55
3/26/2017,conventional,2017,1.24,small,11737559.6
3/19/2017,conventional,2017,1.25,small,10975689.78
3/12/2017,conventional,2017,1.22,small,11228357.23
3/5/2017,conventional,2017,1.13,small,11335275.58
2/26/2017,conventional,2017,0.99,small,13173668.36
2/19/2017,conventional,2017,0.99,small,11321732.4
2/12/2017,conventional,2017,0.87,small,15051951.54
2/5/2017,conventional,2017,0.77,small,22743616.17
1/29/2017,conventional,2017,0.96,small,14034075.77
1/22/2017,conventional,2017,0.94,small,14254150.46
1/15/2017,conventional,2017,0.98,small,12936858.36
1/8/2017,conventional,2017,0.99,small,11809727.7
1/1/2017,conventional,2017,0.89,small,12707894.99
3/25/2018,conventional,2018,1.03,small,14130799.1
3/18/2018,conventional,2018,1.05,small,13707389.51
3/11/2018,conventional,2018,1.09,small,14089091.05
3/4/2018,conventional,2018,1.07,small,14439547.46
2/25/2018,conventional,2018,1.06,small,13829857.87
2/18/2018,conventional,2018,1.08,small,13262751.42
2/11/2018,conventional,2018,0.97,small,15870677.7
2/4/2018,conventional,2018,0.87,small,21620180.9
1/28/2018,conventional,2018,1.09,small,14551799.5
1/21/2018,conventional,2018,1.08,small,14218843.83
1/14/2018,conventional,2018,1.2,small,12600918.24
1/7/2018,conventional,2018,1.13,small,13730992.75
12/27/2015,organic,2015,1.52,small,89709.92
12/20/2015,organic,2015,1.53,small,93849.3
12/13/2015,organic,2015,1.43,small,91837.92
12/6/2015,organic,2015,1.52,small,90203.21
11/29/2015,organic,2015,1.5,small,79215.51
11/22/2015,organic,2015,1.49,small,95222.99
11/15/2015,organic,2015,1.6,small,109494.19
11/8/2015,organic,2015,1.54,small,167254.55
11/1/2015,organic,2015,1.47,small,113380.29
10/25/2015,organic,2015,1.62,small,109006.18
10/18/2015,organic,2015,1.71,small,108697.64
10/11/2015,organic,2015,1.69,small,93015.27
10/4/2015,organic,2015,1.72,small,95393.58
9/27/2015,organic,2015,1.75,small,114590.38
9/20/2015,organic,2015,1.77,small,126318.13
9/13/2015,organic,2015,1.8,small,133928.36
9/6/2015,organic,2015,1.78,small,132181.77
8/30/2015,organic,2015,1.66,small,150924.97
8/23/2015,organic,2015,1.72,small,176723.74
8/16/2015,organic,2015,1.75,small,150876.8
8/9/2015,organic,2015,1,small,170184
8/2/2015,organic,2015,1,small,164126
7/26/2015,organic,2015,1,small,169940
7/19/2015,organic,2015,1,small,159752
7/12/2015,organic,2015,1,small,178871
7/5/2015,organic,2015,1,small,205073
6/28/2015,organic,2015,1.64,small,192182.13
6/21/2015,organic,2015,1.66,small,202071.06
6/14/2015,organic,2015,1.68,small,203021.68
6/7/2015,organic,2015,1.67,small,200483.4
5/31/2015,organic,2015,1.58,small,205250.19
5/24/2015,organic,2015,1.59,small,234692.14
5/17/2015,organic,2015,1.5,small,246278.31
5/10/2015,organic,2015,1.42,small,251602.18
5/3/2015,organic,2015,1.37,small,323883.65
4/26/2015,organic,2015,1.45,small,321733.2
4/19/2015,organic,2015,1.59,small,215283.51
4/12/2015,organic,2015,1.53,small,202491.27
4/5/2015,organic,2015,1.63,small,197746.89
3/29/2015,organic,2015,1.6,small,193273.88
3/22/2015,organic,2015,1.49,small,237139.46
3/15/2015,organic,2015,1.5,small,235569.01
3/8/2015,organic,2015,1.49,small,253078.17
3/1/2015,organic,2015,1.4,small,361996.84
2/22/2015,organic,2015,1.51,small,272594.88
2/15/2015,organic,2015,1.58,small,207650.64
2/8/2015,organic,2015,1.48,small,215657.99
2/1/2015,organic,2015,1.36,small,302561.47
1/25/2015,organic,2015,1.53,small,207494.87
1/18/2015,organic,2015,1.42,small,254319.58
1/11/2015,organic,2015,1.42,small,270966.74
1/4/2015,organic,2015,1.46,small,233286.13
12/25/2016,organic,2016,1.34,small,93875.25
12/18/2016,organic,2016,1.43,small,97661.23
12/11/2016,organic,2016,1.42,small,93027.82
12/4/2016,organic,2016,1.56,small,106472.53
11/27/2016,organic,2016,1.64,small,100240.54
11/20/2016,organic,2016,1.63,small,110737.55
11/13/2016,organic,2016,1.7,small,110018.79
11/6/2016,organic,2016,1.68,small,117317.9
10/30/2016,organic,2016,1.93,small,123815.8
10/23/2016,organic,2016,1.63,small,131203.12
10/16/2016,organic,2016,1.5,small,114303.56
10/9/2016,organic,2016,1.52,small,127092.78
10/2/2016,organic,2016,1.71,small,131467.24
9/25/2016,organic,2016,1.69,small,119993.58
9/18/2016,organic,2016,1.67,small,127014.67
9/11/2016,organic,2016,1.52,small,144991.21
9/4/2016,organic,2016,1.54,small,137842.79
8/28/2016,organic,2016,1.49,small,135742.77
8/21/2016,organic,2016,1.51,small,177591.96
8/14/2016,organic,2016,1.48,small,186697.3
8/7/2016,organic,2016,1.55,small,151179.99
7/31/2016,organic,2016,1.58,small,156417.33
7/24/2016,organic,2016,1.65,small,159151.31
7/17/2016,organic,2016,1.63,small,152828.51
7/10/2016,organic,2016,1.51,small,152994.7
7/3/2016,organic,2016,1.47,small,159903
6/26/2016,organic,2016,1.5,small,171054.38
6/19/2016,organic,2016,1.45,small,166983.45
6/12/2016,organic,2016,1.45,small,176286.36
6/5/2016,organic,2016,1.43,small,152105.91
5/29/2016,organic,2016,1.41,small,137449.41
5/22/2016,organic,2016,1.36,small,166883.21
5/15/2016,organic,2016,1.45,small,146037.3
5/8/2016,organic,2016,1.3,small,132225.28
5/1/2016,organic,2016,1.28,small,238992.91
4/24/2016,organic,2016,1.25,small,225429.09
4/17/2016,organic,2016,1.38,small,115155.65
4/10/2016,organic,2016,1.26,small,108747.34
4/3/2016,organic,2016,1.44,small,119283.9
3/27/2016,organic,2016,1.44,small,112620.05
3/20/2016,organic,2016,1.27,small,105069.07
3/13/2016,organic,2016,1.29,small,132040.04
3/6/2016,organic,2016,1.28,small,127184.88
2/28/2016,organic,2016,1.44,small,110120.49
2/21/2016,organic,2016,1.45,small,104135.94
2/14/2016,organic,2016,1.37,small,102897.63
2/7/2016,organic,2016,1.44,small,101408.79
1/31/2016,organic,2016,1.43,small,108929.21
1/24/2016,organic,2016,1.41,small,99316.69
1/17/2016,organic,2016,1.44,small,115992.81
1/10/2016,organic,2016,1.35,small,113867.63
1/3/2016,organic,2016,1.43,small,124799.63
12/31/2017,organic,2017,1.52,small,120545.76
12/24/2017,organic,2017,1.64,small,103199.55
12/17/2017,organic,2017,1.57,small,94905.86
12/10/2017,organic,2017,1.54,small,94279.26
12/3/2017,organic,2017,1.62,small,99317.88
11/26/2017,organic,2017,1.72,small,77759.93
11/19/2017,organic,2017,1.77,small,88110.88
11/12/2017,organic,2017,1.81,small,93312.94
11/5/2017,organic,2017,1.82,small,88073.16
10/29/2017,organic,2017,1.84,small,88668.95
10/22/2017,organic,2017,1.82,small,89301.75
10/15/2017,organic,2017,1.85,small,103557.18
10/8/2017,organic,2017,1.9,small,100744.58
10/1/2017,organic,2017,1.95,small,100319.38
9/24/2017,organic,2017,1.94,small,116338.61
9/17/2017,organic,2017,2,small,140979.17
9/10/2017,organic,2017,2.03,small,114942.21
9/3/2017,organic,2017,2.06,small,113516
8/27/2017,organic,2017,2.09,small,112812.39
8/20/2017,organic,2017,1.96,small,108658.66
8/13/2017,organic,2017,1.88,small,98007.24
8/6/2017,organic,2017,1.83,small,112592.04
7/30/2017,organic,2017,1.78,small,100332.24
7/23/2017,organic,2017,1.76,small,113467.66
7/16/2017,organic,2017,1.78,small,94267.55
7/9/2017,organic,2017,1.71,small,109023.66
7/2/2017,organic,2017,1.74,small,128156.1
6/25/2017,organic,2017,1.77,small,123317.1
6/18/2017,organic,2017,1.71,small,169434.58
6/11/2017,organic,2017,1.56,small,160841.97
6/4/2017,organic,2017,1.64,small,165665.93
5/28/2017,organic,2017,1.69,small,163384.37
5/21/2017,organic,2017,1.71,small,166985.41
5/14/2017,organic,2017,1.55,small,164697.92
5/7/2017,organic,2017,1.57,small,172722.76
4/30/2017,organic,2017,1.68,small,199039.61
4/23/2017,organic,2017,1.61,small,152604.41
4/16/2017,organic,2017,1.49,small,176684.11
4/9/2017,organic,2017,1.43,small,148803.12
4/2/2017,organic,2017,1.42,small,183101.86
3/26/2017,organic,2017,1.29,small,160491.66
3/19/2017,organic,2017,1.5,small,172196.56
3/12/2017,organic,2017,1.38,small,152896.45
3/5/2017,organic,2017,1.16,small,184006.16
2/26/2017,organic,2017,1.21,small,150448.17
2/19/2017,organic,2017,1.31,small,250591.21
2/12/2017,organic,2017,1.41,small,136636.34
2/5/2017,organic,2017,1.36,small,136100.39
1/29/2017,organic,2017,1.43,small,131808.29
1/22/2017,organic,2017,1.37,small,115700.02
1/15/2017,organic,2017,1.44,small,121132.79
1/8/2017,organic,2017,1.43,small,117721.87
1/1/2017,organic,2017,1.48,small,99820.77
3/25/2018,organic,2018,1.55,small,121007.94
3/18/2018,organic,2018,1.54,small,170801.85
3/11/2018,organic,2018,1.52,small,129169.72
3/4/2018,organic,2018,1.52,small,142345.03
2/25/2018,organic,2018,1.57,small,122912.97
2/18/2018,organic,2018,1.52,small,246515.35
2/11/2018,organic,2018,1.56,small,98465.26
2/4/2018,organic,2018,1.53,small,117922.52
1/28/2018,organic,2018,1.61,small,118616.17
1/21/2018,organic,2018,1.63,small,108705.28
1/14/2018,organic,2018,1.59,small,145680.62
1/7/2018,organic,2018,1.51,small,129541.43
12/27/2015,conventional,2015,0.95,large,10197890.05
12/20/2015,conventional,2015,0.98,large,9329861.85
12/13/2015,conventional,2015,0.93,large,10805838.91
12/6/2015,conventional,2015,0.89,large,12160838.62
11/29/2015,conventional,2015,0.99,large,9003178.41
11/22/2015,conventional,2015,0.96,large,10389879.59
11/15/2015,conventional,2015,0.92,large,11699787.51
11/8/2015,conventional,2015,0.97,large,12199657.4
11/1/2015,conventional,2015,0.97,large,14229286.82
10/25/2015,conventional,2015,1.04,large,11410478.34
10/18/2015,conventional,2015,0.99,large,14082539.61
10/11/2015,conventional,2015,1,large,13326573.45
10/4/2015,conventional,2015,1.02,large,13775651.69
9/27/2015,conventional,2015,1.03,large,13819912.63
9/20/2015,conventional,2015,1.02,large,13846044.56
9/13/2015,conventional,2015,1.03,large,14888077.69
9/6/2015,conventional,2015,1.02,large,14245598.38
8/30/2015,conventional,2015,1.07,large,11995960.83
8/23/2015,conventional,2015,1.08,large,12551529.7
8/16/2015,conventional,2015,1.05,large,12998327.25
8/9/2015,conventional,2015,1.05,large,13926692.62
8/2/2015,conventional,2015,1.09,large,12219014.12
7/26/2015,conventional,2015,1.07,large,12009228.05
7/19/2015,conventional,2015,1.07,large,12605457.17
7/12/2015,conventional,2015,1.07,large,12403360.2
7/5/2015,conventional,2015,1.04,large,14213650.06
6/28/2015,conventional,2015,1.06,large,11505999.24
6/21/2015,conventional,2015,1.02,large,13244466.6
6/14/2015,conventional,2015,0.98,large,12821015.03
6/7/2015,conventional,2015,1,large,12582265.21
5/31/2015,conventional,2015,1.03,large,11599634.02
5/24/2015,conventional,2015,1.04,large,12513821.19
5/17/2015,conventional,2015,1.06,large,11003341.22
5/10/2015,conventional,2015,1.02,large,13509064.65
5/3/2015,conventional,2015,0.96,large,16602589.04
4/26/2015,conventional,2015,1.07,large,10867403.08
4/19/2015,conventional,2015,1.03,large,12277858.78
4/12/2015,conventional,2015,1.02,large,11210544.11
4/5/2015,conventional,2015,1.06,large,11526980.36
3/29/2015,conventional,2015,1.04,large,11541041.35
3/22/2015,conventional,2015,1.01,large,12659784.83
3/15/2015,conventional,2015,1.04,large,10634070.76
3/8/2015,conventional,2015,1.02,large,10973972.6
3/1/2015,conventional,2015,0.97,large,13733124.48
2/22/2015,conventional,2015,1.02,large,11354281.64
2/15/2015,conventional,2015,1.03,large,9783489.59
2/8/2015,conventional,2015,0.95,large,13381347.54
2/1/2015,conventional,2015,0.89,large,18956479.74
1/25/2015,conventional,2015,1.04,large,10734652.82
1/18/2015,conventional,2015,1.03,large,11701947.8
1/11/2015,conventional,2015,1.01,large,12134773.38
1/4/2015,conventional,2015,0.95,large,13624083.05
12/25/2016,conventional,2016,1,large,10282925.61
12/18/2016,conventional,2016,0.96,large,10339168.2
12/11/2016,conventional,2016,0.98,large,9967220.02
12/4/2016,conventional,2016,1,large,9908982.97
11/27/2016,conventional,2016,1.21,large,7337341.77
11/20/2016,conventional,2016,1.27,large,8033510.82
11/13/2016,conventional,2016,1.36,large,7759608.21
11/6/2016,conventional,2016,1.44,large,7126936.31
10/30/2016,conventional,2016,1.43,large,6852046.35
10/23/2016,conventional,2016,1.34,large,8104522.26
10/16/2016,conventional,2016,1.3,large,8855072.75
10/9/2016,conventional,2016,1.27,large,9579338.98
10/2/2016,conventional,2016,1.23,large,9123897.74
9/25/2016,conventional,2016,1.22,large,9255913.78
9/18/2016,conventional,2016,1.15,large,9481313.14
9/11/2016,conventional,2016,1.08,large,10380438.09
9/4/2016,conventional,2016,1.04,large,11083513.46
8/28/2016,conventional,2016,1.09,large,10420973
8/21/2016,conventional,2016,1.1,large,9906498.51
8/14/2016,conventional,2016,1.12,large,10879341.61
8/7/2016,conventional,2016,1.15,large,10731379.56
7/31/2016,conventional,2016,1.23,large,10423957.83
7/24/2016,conventional,2016,1.2,large,10795751.15
7/17/2016,conventional,2016,1.15,large,10628872.6
7/10/2016,conventional,2016,1.1,large,11677528
7/3/2016,conventional,2016,1.06,large,13315901.42
6/26/2016,conventional,2016,1.04,large,12029918.6
6/19/2016,conventional,2016,1.02,large,12842698.33
6/12/2016,conventional,2016,1.04,large,11533969.83
6/5/2016,conventional,2016,0.97,large,13396651.73
5/29/2016,conventional,2016,0.94,large,13829591.06
5/22/2016,conventional,2016,0.93,large,12981224.42
5/15/2016,conventional,2016,0.89,large,14437190.03
5/8/2016,conventional,2016,0.82,large,17896391.6
5/1/2016,conventional,2016,0.84,large,15899858.37
4/24/2016,conventional,2016,0.87,large,14382184.8
4/17/2016,conventional,2016,0.9,large,12896366.58
4/10/2016,conventional,2016,0.9,large,11538132.36
4/3/2016,conventional,2016,0.94,large,11512621.85
3/27/2016,conventional,2016,0.94,large,12745266.73
3/20/2016,conventional,2016,0.93,large,13727453.57
3/13/2016,conventional,2016,0.93,large,13104887.66
3/6/2016,conventional,2016,0.95,large,12196587.24
2/28/2016,conventional,2016,0.91,large,13210854.56
2/21/2016,conventional,2016,0.94,large,12003751.56
2/14/2016,conventional,2016,0.88,large,13187973.29
2/7/2016,conventional,2016,0.76,large,20470572.61
1/31/2016,conventional,2016,0.93,large,13278053.61
1/24/2016,conventional,2016,0.95,large,14054367.5
1/17/2016,conventional,2016,0.94,large,13832256.04
1/10/2016,conventional,2016,0.93,large,13226088.66
1/3/2016,conventional,2016,0.86,large,16054083.86
12/31/2017,conventional,2017,0.98,large,13197460.59
12/24/2017,conventional,2017,1.18,large,8964247.34
12/17/2017,conventional,2017,1.07,large,9934618.43
12/10/2017,conventional,2017,1.03,large,11659897.51
12/3/2017,conventional,2017,1.09,large,10905968
11/26/2017,conventional,2017,1.24,large,7312239
11/19/2017,conventional,2017,1.17,large,7847059
11/12/2017,conventional,2017,1.15,large,9994648
11/5/2017,conventional,2017,1.19,large,9774987.75
10/29/2017,conventional,2017,1.29,large,9803569.58
10/22/2017,conventional,2017,1.44,large,8761192.74
10/15/2017,conventional,2017,1.58,large,8534404.17
10/8/2017,conventional,2017,1.65,large,7609509.9
10/1/2017,conventional,2017,1.64,large,8354516.32
9/24/2017,conventional,2017,1.62,large,8295761.93
9/17/2017,conventional,2017,1.57,large,8328241.87
9/10/2017,conventional,2017,1.56,large,8373234.08
9/3/2017,conventional,2017,1.57,large,8565265.61
8/27/2017,conventional,2017,1.47,large,8587105.6
8/20/2017,conventional,2017,1.41,large,8837219.28
8/13/2017,conventional,2017,1.33,large,11154310.29
8/6/2017,conventional,2017,1.33,large,10988313.58
7/30/2017,conventional,2017,1.32,large,11088082.78
7/23/2017,conventional,2017,1.31,large,11339580.43
7/16/2017,conventional,2017,1.33,large,11202844.97
7/9/2017,conventional,2017,1.17,large,11031218.25
7/2/2017,conventional,2017,1.21,large,10988734.57
6/25/2017,conventional,2017,1.17,large,10805961.74
6/18/2017,conventional,2017,1.18,large,11199448.6
6/11/2017,conventional,2017,1.21,large,10090861.46
6/4/2017,conventional,2017,1.24,large,10157565.24
5/28/2017,conventional,2017,1.28,large,10932970.72
5/21/2017,conventional,2017,1.26,large,10213231.95
5/14/2017,conventional,2017,1.19,large,9717257.8
5/7/2017,conventional,2017,1.09,large,13549102.59
4/30/2017,conventional,2017,1.18,large,11291149.13
4/23/2017,conventional,2017,1.18,large,10224484.11
4/16/2017,conventional,2017,1.23,large,10069354.29
4/9/2017,conventional,2017,1.21,large,10821096.24
4/2/2017,conventional,2017,1.21,large,9733584.68
3/26/2017,conventional,2017,1.24,large,9664310.82
3/19/2017,conventional,2017,1.25,large,9622711.73
3/12/2017,conventional,2017,1.22,large,9575227.17
3/5/2017,conventional,2017,1.13,large,10807889.59
2/26/2017,conventional,2017,0.99,large,11398142.68
2/19/2017,conventional,2017,0.99,large,10351148.2
2/12/2017,conventional,2017,0.87,large,12184188.37
2/5/2017,conventional,2017,0.77,large,20328161.55
1/29/2017,conventional,2017,0.96,large,11683464.54
1/22/2017,conventional,2017,0.94,large,14212881.66
1/15/2017,conventional,2017,0.98,large,12625665.39
1/8/2017,conventional,2017,0.99,large,13856934.7
1/1/2017,conventional,2017,0.89,large,14201200.68
3/25/2018,conventional,2018,1.03,large,12125711.42
3/18/2018,conventional,2018,1.05,large,11061051.69
3/11/2018,conventional,2018,1.09,large,10758039.45
3/4/2018,conventional,2018,1.07,large,11289307.37
2/25/2018,conventional,2018,1.06,large,10415463.59
2/18/2018,conventional,2018,1.08,large,10491918.44
2/11/2018,conventional,2018,0.97,large,11541844.87
2/4/2018,conventional,2018,0.87,large,20445501.03
1/28/2018,conventional,2018,1.09,large,12119884.61
1/21/2018,conventional,2018,1.08,large,13929702.12
1/14/2018,conventional,2018,1.2,large,11866197.84
1/7/2018,conventional,2018,1.13,large,10781339.21
12/27/2015,organic,2015,1.52,large,206198.62
12/20/2015,organic,2015,1.53,large,205909.13
12/13/2015,organic,2015,1.43,large,222314.6
